,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelpha 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
1999-2000,28,35,31,49,17,32,40,35,42,19,34,56,15,67,22,52,42,50,,50,40,41,49,53,59,44,53,45,55,29
2000-2001,25,36,26,46,15,30,53,40,32,17,45,41,31,56,23,50,52,47,,48,44,43,56,51,50,55,58,47,53,19
2001-2002,33,49,52,44,21,29,57,27,50,21,28,42,39,58,23,36,41,50,,30,45,44,43,36,49,61,58,42,44,37
2002-2003,35,44,49,47,30,17,60,17,50,38,43,48,27,50,28,25,42,51,,37,40,42,48,44,50,59,60,24,47,37
2003-2004,28,36,47,41,23,35,52,43,54,37,45,61,28,56,50,42,41,58,,39,37,21,33,29,41,55,57,33,42,25
2004-2005,13,45,42,18,47,42,58,49,54,34,51,44,37,34,45,59,30,44,18,33,52,36,43,62,27,50,59,33,26,45
2005-2006,26,33,49,26,41,50,60,44,64,42,34,41,47,45,49,52,40,33,38,23,35,36,38,54,21,44,63,27,41,42
2006-2007,30,24,41,33,49,50,67,45,53,42,52,35,40,42,22,44,28,32,39,33,31,40,35,61,32,33,58,47,51,41
2007-2008,37,66,34,32,33,45,51,50,59,48,55,36,23,57,22,15,26,22,56,23,20,52,40,55,41,38,56,41,54,43
2008-2009,47,62,34,35,41,66,50,54,39,29,53,36,19,65,24,43,34,24,49,32,23,59,41,46,54,17,54,33,48,19
2009-2010,53,50,12,37,41,61,55,53,27,26,42,32,29,57,40,47,46,15,37,29,50,59,27,54,50,25,50,40,53,26
2010-2011,44,56,24,46,62,19,57,50,30,36,43,37,32,57,46,58,35,17,46,42,55,52,41,40,48,24,61,22,39,23
2011-2012,49,48,27,26,62,26,44,47,31,28,42,52,49,50,50,57,38,32,26,44,58,46,43,41,34,27,62,28,44,24
2012-2013,44,41,49,27,45,24,41,57,29,47,45,49,56,45,56,66,38,31,27,54,60,20,34,25,33,28,58,34,43,29
2013-2014,38,25,44,34,48,33,49,36,29,51,54,56,57,27,50,54,15,40,34,37,59,23,19,48,54,28,62,48,25,44
2014-2015,60,40,38,45,50,53,50,30,32,67,56,38,56,21,55,37,41,16,45,17,45,25,18,39,51,29,55,49,38,46
2015-2016,48,48,21,30,42,57,42,33,44,73,41,45,53,17,42,48,33,29,30,32,55,35,10,23,44,33,67,56,40,41
2016-2017,43,53,20,36,41,51,33,40,37,67,55,42,51,26,43,41,42,31,34,31,47,29,28,24,41,32,61,51,51,49
2017-2018,24,55,28,36,27,50,24,46,39,58,65,48,42,35,22,44,44,47,48,29,48,25,52,21,49,27,47,59,48,43
2018-2019,29,49,42,39,22,19,33,54,41,57,53,48,48,37,33,39,60,36,33,17,49,42,51,19,53,39,48,58,50,32
2019-2020,24,54,39,29,27,23,46,51,24,18,50,50,55,60,38,49,62,24,34,26,50,37,48,38,38,35,36,60,50,28
2020-2021,46,41,54,37,35,25,47,53,22,44,19,38,53,47,43,45,52,26,35,46,25,23,55,58,47,35,37,30,59,38
2021-2022,43,51,44,43,46,44,52,48,23,53,20,25,42,33,56,53,51,46,36,37,24,22,51,64,27,30,34,48,49,35
2022-2023,41,57,45,27,40,51,38,53,17,44,22,35,44,43,51,44,58,42,42,47,40,34,54,45,33,48,22,41,37,35
2023-2024,36,64,32,21,39,48,50,57,14,46,41,47,51,47,27,46,49,56,49,50,57,47,47,49,21,46,22,25,31,15
